Serial No,Image Name,Computer Label,Image Path,Drive URL,Image Preview,Human Label
11,bff43254e9a55ecf50b9589a4317c189_1920x1080_30_frame0040.jpg,Not Attentive,./dataset/All_extracted_frames/bff43254e9a55ecf50b9589a4317c189_1920x1080_30_frame0040.jpg,https://drive.google.com/uc?export=view&id=1Y1wVAwcwS2lbpmOtueCt90jcwBgzAZX5,,Attentive
12,3ffd0ec9cf1fd2a330de6c3ce1dd33ac_1920x1080_30_frame0060.jpg,Attentive,./dataset/All_extracted_frames/3ffd0ec9cf1fd2a330de6c3ce1dd33ac_1920x1080_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=1Ov_N1st_As_kCLIfVx0iz3vCyXLRKj_O,,Attentive
13,b91038928c3d8a33b44a562c37f27e58_1920x1080_30_frame0080.jpg,Not Attentive,./dataset/All_extracted_frames/b91038928c3d8a33b44a562c37f27e58_1920x1080_30_frame0080.jpg,https://drive.google.com/uc?export=view&id=1g9B7abqY_TyGCvzIRHE4tgg5LEfc4pG-,,Not Attentive
14,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30_frame0080.jpg,Not Attentive,./dataset/All_extracted_frames/c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30_frame0080.jpg,https://drive.google.com/uc?export=view&id=1O4fvg0OdV6L4WVmVp34Lwx9S8vCEHjH8,,Attentive
15,daab1d7d2a7bb4bdaccf8a0162734bf1_1080x1920_30_frame0100.jpg,Attentive,./dataset/All_extracted_frames/daab1d7d2a7bb4bdaccf8a0162734bf1_1080x1920_30_frame0100.jpg,https://drive.google.com/uc?export=view&id=1PwQhxkMlxDHbYM2O-VptYN_CjHNeR7z3,,Attentive
16,021e305217c4bb582fa3ff9ea7112d89_1080x1920_30_frame0260.jpg,Attentive,./dataset/All_extracted_frames/021e305217c4bb582fa3ff9ea7112d89_1080x1920_30_frame0260.jpg,https://drive.google.com/uc?export=view&id=1zjG4ozkMr1A9kn82DDBj6tm_o5BcRUrD,,Attentive
17,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30_frame0040.jpg,Attentive,./dataset/All_extracted_frames/0296bcc0fdd2a47380e798289dcc099f_1080x1920_30_frame0040.jpg,https://drive.google.com/uc?export=view&id=1MyhX4nxP_RPq8Yim42FEPAoEQpi4XIdu,,Attentive
18,3ffd0ec9cf1fd2a330de6c3ce1dd33ac_1920x1080_30_frame0100.jpg,Attentive,./dataset/All_extracted_frames/3ffd0ec9cf1fd2a330de6c3ce1dd33ac_1920x1080_30_frame0100.jpg,https://drive.google.com/uc?export=view&id=11AIm98k6dnQnfNf0KyhSVbYzwGR_8xIf,,Attentive
19,3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0020.jpg,Attentive,./dataset/All_extracted_frames/3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0020.jpg,https://drive.google.com/uc?export=view&id=1sTk9_0frq50mkHG5FOE9xR7-SERfuf1l,,Not Attentive
20,7f3867f511678ea5d0d76e80a1f7c3dc_1080x1920_30_frame0280.jpg,Attentive,./dataset/All_extracted_frames/7f3867f511678ea5d0d76e80a1f7c3dc_1080x1920_30_frame0280.jpg,https://drive.google.com/uc?export=view&id=1RerRcWrXxHJNk-DA15gSMVEgsoIIivNx,,Attentive
21,9f03648e0b5a33e4e8e358a07072123c_1920x1080_30_frame0060.jpg,Attentive,./dataset/All_extracted_frames/9f03648e0b5a33e4e8e358a07072123c_1920x1080_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=1DoRWrNi8xgZShImQnj7aT9v4xJTKOJMd,,Not Attentive
22,3f7df79cd3338701dfce79b3ec82531c_1080x1920_30_frame0140.jpg,Attentive,./dataset/All_extracted_frames/3f7df79cd3338701dfce79b3ec82531c_1080x1920_30_frame0140.jpg,https://drive.google.com/uc?export=view&id=1-LJRnLbbcIi_xZdffsXNywrDVhjJx-LQ,,Attentive
23,d6afb6753c13d3411c77c4b0ca803e9b_1920x1080_30_frame0200.jpg,Not Attentive,./dataset/All_extracted_frames/d6afb6753c13d3411c77c4b0ca803e9b_1920x1080_30_frame0200.jpg,https://drive.google.com/uc?export=view&id=1Lrz6vFPBtEAGYNMQRNG5vnjGPQuG31xT,,Attentive
24,af58a7cc817d1a6282f2f25c3e7151db_1920x1080_30_frame0160.jpg,Not Attentive,./dataset/All_extracted_frames/af58a7cc817d1a6282f2f25c3e7151db_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=19o090tWTdnWH4V_0b3BXC4jGqRcQMrdg,,Attentive
25,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30_frame0180.jpg,Not Attentive,./dataset/All_extracted_frames/9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30_frame0180.jpg,https://drive.google.com/uc?export=view&id=1rgCiQJlfLA0OYoklBoYk4pIHHvZahRYT,,Attentive
26,a1762072616a88919fdf54e6326d17d1_1920x1080_30_frame0280.jpg,Not Attentive,./dataset/All_extracted_frames/a1762072616a88919fdf54e6326d17d1_1920x1080_30_frame0280.jpg,https://drive.google.com/uc?export=view&id=1lFHTw7HFiBrdAk0DO6Cf19aMvGKz1Hfp,,Attentive
27,f5bf77ce88911b87fca0c913829ffdd8_1080x1920_30_frame0080.jpg,Attentive,./dataset/All_extracted_frames/f5bf77ce88911b87fca0c913829ffdd8_1080x1920_30_frame0080.jpg,https://drive.google.com/uc?export=view&id=1GDBmaSC5Pi-dlXM-Yv2gCF3wzDnYHVth,,Attentive
28,3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0240.jpg,Not Attentive,./dataset/All_extracted_frames/3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0240.jpg,https://drive.google.com/uc?export=view&id=17g-S-pGRZq1W4W1S11rQg_scNYJaRgHq,,Attentive
29,eb198bf71326661649a7649668a8adde_1080x1920_30_frame0220.jpg,Attentive,./dataset/All_extracted_frames/eb198bf71326661649a7649668a8adde_1080x1920_30_frame0220.jpg,https://drive.google.com/uc?export=view&id=1enLocZzbfjggnKTJ_smnxFVH4fFtLOIZ,,Attentive
30,c67611cc32af5603f4f501e65b77c886_1080x1920_30_frame0160.jpg,Attentive,./dataset/All_extracted_frames/c67611cc32af5603f4f501e65b77c886_1080x1920_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=17O_grQ58bLhwH-KbPWzgLCEKJ_5vZxh3,,Attentive
31,8090e541f25d87d35507d7e12500c95c_1920x1080_30_frame0160.jpg,Attentive,./dataset/All_extracted_frames/8090e541f25d87d35507d7e12500c95c_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=1GSmES-pjVW-l6WVVra_yWDRJeiF9ksoH,,Not Attentive
32,41c01f22694971cf834a52a41d27cb7b_1920x1080_30_frame0240.jpg,Attentive,./dataset/All_extracted_frames/41c01f22694971cf834a52a41d27cb7b_1920x1080_30_frame0240.jpg,https://drive.google.com/uc?export=view&id=1ViCbZK4QrfvUs4t7TK5w20HgAYB14o2S,,Attentive
33,f5b79a8330af8359bf535b2d5a036bac_1080x1920_30_frame0060.jpg,Attentive,./dataset/All_extracted_frames/f5b79a8330af8359bf535b2d5a036bac_1080x1920_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=176exZ-iTC35TgiaFl4oEROMkLiMX4r3r,,Attentive
34,b3683f20cd1b116bcef69df7f5425905_1080x1920_30_frame0240.jpg,Attentive,./dataset/All_extracted_frames/b3683f20cd1b116bcef69df7f5425905_1080x1920_30_frame0240.jpg,https://drive.google.com/uc?export=view&id=1QwKzwXIktCV5yRPxyqDtDyyfy4Xk1_t1,,Attentive
35,af2ce279e315370f645044caf7005367_1080x1920_30_frame0220.jpg,Attentive,./dataset/All_extracted_frames/af2ce279e315370f645044caf7005367_1080x1920_30_frame0220.jpg,https://drive.google.com/uc?export=view&id=1K87DNmI8vh1qWkHPEUhyfUT2TzczREc8,,Attentive
36,a3f85462e2037076ac2b612dc701bba7_1080x1920_30_frame0180.jpg,Attentive,./dataset/All_extracted_frames/a3f85462e2037076ac2b612dc701bba7_1080x1920_30_frame0180.jpg,https://drive.google.com/uc?export=view&id=16b_1giShGi2Hvt-nZ8FNliuq03oOII9Z,,Attentive
37,99b38ea07fccf7d4027ce0e35ec21181_1920x1080_30_frame0100.jpg,Not Attentive,./dataset/All_extracted_frames/99b38ea07fccf7d4027ce0e35ec21181_1920x1080_30_frame0100.jpg,https://drive.google.com/uc?export=view&id=11U5aXRerORfYujPSsiZgD5zCjKE6YfXt,,Attentive
38,9a0a1d9f621f5cd07e83618b8b156732_1920x1080_30_frame0180.jpg,Not Attentive,./dataset/All_extracted_frames/9a0a1d9f621f5cd07e83618b8b156732_1920x1080_30_frame0180.jpg,https://drive.google.com/uc?export=view&id=17IhWZBmYRPS1eKccKy4w563QstNXwVaG,,Attentive
39,3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0180.jpg,Not Attentive,./dataset/All_extracted_frames/3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0180.jpg,https://drive.google.com/uc?export=view&id=1qbLCNxJA4ZQetV_7vOeWwzpxGsHfHPuU,,Attentive
40,d06efd4c2024fa7982a696f5c6651e33_1920x1080_30_frame0040.jpg,Not Attentive,./dataset/All_extracted_frames/d06efd4c2024fa7982a696f5c6651e33_1920x1080_30_frame0040.jpg,https://drive.google.com/uc?export=view&id=1aXrQO_o2OfR66WiwqBi8T4e2N3vlmFKg,,Not Attentive
41,6b72ba8a8da1988e25b8ac483be81575_1920x1080_30_frame0000.jpg,Attentive,./dataset/All_extracted_frames/6b72ba8a8da1988e25b8ac483be81575_1920x1080_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1E7JKbmSNAnhqXWXM7jZzPKGmaenwjc4P,,Not Attentive
42,d4d4afe96d09d8186bf551e01c4e3c4d_1920x1080_30_frame0260.jpg,Attentive,./dataset/All_extracted_frames/d4d4afe96d09d8186bf551e01c4e3c4d_1920x1080_30_frame0260.jpg,https://drive.google.com/uc?export=view&id=1KFitrZH9eUy4mthziOU2Qv0llDC8GIYe,,Not Attentive
43,af58a7cc817d1a6282f2f25c3e7151db_1920x1080_30_frame0000.jpg,Not Attentive,./dataset/All_extracted_frames/af58a7cc817d1a6282f2f25c3e7151db_1920x1080_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1iGDZbLyd66hqXrO9jfFGySjLuW8FX-mN,,Not Attentive
44,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30_frame0160.jpg,Not Attentive,./dataset/All_extracted_frames/c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=1pC-q8_oBXfMTB_xki3ayRx3T_wPKOEQU,,Not Attentive
45,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30_frame0160.jpg,Attentive,./dataset/All_extracted_frames/3e7bd8b1e9bc081457559851a5012d14_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=1F1VzY_ZwHTlKAroiZhd5ufJAzVGV00iY,,Attentive
46,c691e95c3a6dc2c55e6fe1258b129a79_1920x1080_30_frame0160.jpg,Not Attentive,./dataset/All_extracted_frames/c691e95c3a6dc2c55e6fe1258b129a79_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=1t8K8oc1KXpA5NY7oN9SHskHa6Ouw-Xo0,,Attentive
47,fda953f258d38f3368f4c8fdc774756e_1920x1080_30_frame0060.jpg,Attentive,./dataset/All_extracted_frames/fda953f258d38f3368f4c8fdc774756e_1920x1080_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=1pT5CGxWMJHqG6_D6ne29hW9znPl2KQcX,,Attentive
48,9ef714681ecf419a8a2042de600f8987_1920x1080_30_frame0280.jpg,Not Attentive,./dataset/All_extracted_frames/9ef714681ecf419a8a2042de600f8987_1920x1080_30_frame0280.jpg,https://drive.google.com/uc?export=view&id=1-rLXWdA1pnsHoMKA4L6krz4NcfauF6_z,,Attentive
49,40fe4d76c9719ecf2b00286ffe6c2bf6_1920x1080_30_frame0060.jpg,Not Attentive,./dataset/All_extracted_frames/40fe4d76c9719ecf2b00286ffe6c2bf6_1920x1080_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=1rztNXuKxI_bN5MCuCISuWVf6plVIjueW,,Attentive
50,843fce7bdf716864917d26c1b4ccb23d_1920x1080_30_frame0000.jpg,Not Attentive,./dataset/All_extracted_frames/843fce7bdf716864917d26c1b4ccb23d_1920x1080_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1G9gbdit98mprx6Ch5jURe3N73PQLmQeZ,,Attentive
51,daab1d7d2a7bb4bdaccf8a0162734bf1_1080x1920_30_frame0000.jpg,Attentive,./dataset/All_extracted_frames/daab1d7d2a7bb4bdaccf8a0162734bf1_1080x1920_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1h4bcfRsyk2tsjlK-GHt7FpDU4QATOvd3,,Attentive
52,7f3867f511678ea5d0d76e80a1f7c3dc_1080x1920_30_frame0200.jpg,Attentive,./dataset/All_extracted_frames/7f3867f511678ea5d0d76e80a1f7c3dc_1080x1920_30_frame0200.jpg,https://drive.google.com/uc?export=view&id=1rDLRfmQFijaDgUZ6MlZlSAztv3Q45yab,,Attentive
53,f7b584ac0829ebf36464b22c7860e3f9_1080x1920_30_frame0080.jpg,Attentive,./dataset/All_extracted_frames/f7b584ac0829ebf36464b22c7860e3f9_1080x1920_30_frame0080.jpg,https://drive.google.com/uc?export=view&id=1-pfakoGCu5wCEWTcicUB5w0j5pLUFMKF,,Attentive
54,b4f8629e168eab6243eedbbe5e42fd84_1080x1920_30_frame0160.jpg,Attentive,./dataset/All_extracted_frames/b4f8629e168eab6243eedbbe5e42fd84_1080x1920_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=15VT21jhmxEloTU-v7CIZ6A87waDh4qWl,,Attentive
55,b3683f20cd1b116bcef69df7f5425905_1080x1920_30_frame0040.jpg,Attentive,./dataset/All_extracted_frames/b3683f20cd1b116bcef69df7f5425905_1080x1920_30_frame0040.jpg,https://drive.google.com/uc?export=view&id=15Bj6LXBAH9VPzz6XvXVQnppKLMQ5PxsU,,Attentive
56,a4c13cd1bf0ab8178f3755c4b03f7321_1920x1080_30_frame0020.jpg,Not Attentive,./dataset/All_extracted_frames/a4c13cd1bf0ab8178f3755c4b03f7321_1920x1080_30_frame0020.jpg,https://drive.google.com/uc?export=view&id=1jrBKV59Xr7sH_ZRAAxFqy_DZxHGhSxQB,,Attentive
57,9ed9a59ae12dd89ea60777e00869eb71_1920x1080_30_frame0020.jpg,Attentive,./dataset/All_extracted_frames/9ed9a59ae12dd89ea60777e00869eb71_1920x1080_30_frame0020.jpg,https://drive.google.com/uc?export=view&id=1s_vKnQrMpC9iCUm5os1VJNDvfjwbEMsu,,Not Attentive
58,1505f9141e680e0a01f111e3dc262eb2_1920x1080_30_frame0120.jpg,Not Attentive,./dataset/All_extracted_frames/1505f9141e680e0a01f111e3dc262eb2_1920x1080_30_frame0120.jpg,https://drive.google.com/uc?export=view&id=1fsQ-F0oT8C-EyRbbRzO4NhsLVlXXaeFC,,Not Attentive
59,ea352e3eae0d94f12627e51e23d350df_1920x1080_30_frame0260.jpg,Not Attentive,./dataset/All_extracted_frames/ea352e3eae0d94f12627e51e23d350df_1920x1080_30_frame0260.jpg,https://drive.google.com/uc?export=view&id=1BCDCspJAc5jy_KMtlilftRa7a76wlGQP,,Attentive
60,f697368687ee2b19af6d65927add353d_1920x1080_30_frame0000.jpg,Not Attentive,./dataset/All_extracted_frames/f697368687ee2b19af6d65927add353d_1920x1080_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1FfMQGN2SYyHDGxplIDMXrW_oyDGoW55i,,Attentive
61,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30_frame0020.jpg,Attentive,./dataset/All_extracted_frames/d02c5cdaee1215360fb80240d7a8901f_1080x1920_30_frame0020.jpg,https://drive.google.com/uc?export=view&id=1rh4KjwMIB1BeRE0oMaLt39DWImtLiEco,,Attentive
62,daab1d7d2a7bb4bdaccf8a0162734bf1_1080x1920_30_frame0280.jpg,Attentive,./dataset/All_extracted_frames/daab1d7d2a7bb4bdaccf8a0162734bf1_1080x1920_30_frame0280.jpg,https://drive.google.com/uc?export=view&id=1WebkSXuPohRQoohPgb_nmdw2h6HO1XHW,,Attentive
63,9ef714681ecf419a8a2042de600f8987_1920x1080_30_frame0220.jpg,Not Attentive,./dataset/All_extracted_frames/9ef714681ecf419a8a2042de600f8987_1920x1080_30_frame0220.jpg,https://drive.google.com/uc?export=view&id=13_nn4d14mxzg6Azozj8wXyWhhoi7vUSy,,Attentive
64,45bb89b65ecb56a7f098af5756560291_1920x1080_30_frame0120.jpg,Not Attentive,./dataset/All_extracted_frames/45bb89b65ecb56a7f098af5756560291_1920x1080_30_frame0120.jpg,https://drive.google.com/uc?export=view&id=1ZavVCcS3cfQ3VrE-BehZqGloKee4UgJV,,Not Attentive
65,9e8158a1f7528ac538e0bb88a963bc90_1080x1920_30_frame0260.jpg,Attentive,./dataset/All_extracted_frames/9e8158a1f7528ac538e0bb88a963bc90_1080x1920_30_frame0260.jpg,https://drive.google.com/uc?export=view&id=1PXO_rmBbu0fE6aZRofSZn3COkmDov7kl,,Attentive
66,cd6bc13b091fd0d37fefe47edca9f168_1920x1080_30_frame0220.jpg,Attentive,./dataset/All_extracted_frames/cd6bc13b091fd0d37fefe47edca9f168_1920x1080_30_frame0220.jpg,https://drive.google.com/uc?export=view&id=1TYR3ABk8RQxNhUopW4Y78QmutjM_dn3_,,Not Attentive
67,1e88301e03cf356b45d2287c6283de17_1920x1080_30_frame0160.jpg,Not Attentive,./dataset/All_extracted_frames/1e88301e03cf356b45d2287c6283de17_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=16YhRcUzYqErUJSb77KQuYCfIinKZwYw8,,Not Attentive
68,4c216591f3e9e5e7519da3ac33009c23_1080x1920_30_frame0140.jpg,Not Attentive,./dataset/All_extracted_frames/4c216591f3e9e5e7519da3ac33009c23_1080x1920_30_frame0140.jpg,https://drive.google.com/uc?export=view&id=1Ygp_0F_ozGr6bYQnMYi8i2g12JZRp1tB,,Attentive
69,6cb2bf5384212402d39fc2653df913b7_1920x1080_30_frame0040.jpg,Not Attentive,./dataset/All_extracted_frames/6cb2bf5384212402d39fc2653df913b7_1920x1080_30_frame0040.jpg,https://drive.google.com/uc?export=view&id=1vkAhHjdaQ-UBDo-SRv5gcHxxHDmn-emD,,Attentive
70,6cb2bf5384212402d39fc2653df913b7_1920x1080_30_frame0260.jpg,Attentive,./dataset/All_extracted_frames/6cb2bf5384212402d39fc2653df913b7_1920x1080_30_frame0260.jpg,https://drive.google.com/uc?export=view&id=17p2OAzzRzLZFN1Cq63j1eqZduIwwZ0n0,,Attentive
71,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30_frame0000.jpg,Not Attentive,./dataset/All_extracted_frames/fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1sgOxNaNUbrIBeULERWYWQCaFBETMvmuv,,Attentive
72,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30_frame0280.jpg,Attentive,./dataset/All_extracted_frames/70e80388aae75b945e5000eb7ade4a6a_1920x1080_30_frame0280.jpg,https://drive.google.com/uc?export=view&id=1CFCzh2Whq5plT0NjykLRC79-tUYWSDcW,,Attentive
73,c3089ec3080756f925b5b83fb66af24c_1920x1080_30_frame0060.jpg,Not Attentive,./dataset/All_extracted_frames/c3089ec3080756f925b5b83fb66af24c_1920x1080_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=14PS0LNwlhGG0v4qHaj0tOJ4l3kyQjd74,,Attentive
74,5c26470eb0dd19e2ce12a6cce702834c_1080x1920_30_frame0200.jpg,Attentive,./dataset/All_extracted_frames/5c26470eb0dd19e2ce12a6cce702834c_1080x1920_30_frame0200.jpg,https://drive.google.com/uc?export=view&id=1H1lfZhV_iFR3evOMaI3N_3e_Iij1pryh,,Attentive
75,2544d87b9375667214abb1f1fdd47476_1920x1080_30_frame0280.jpg,Not Attentive,./dataset/All_extracted_frames/2544d87b9375667214abb1f1fdd47476_1920x1080_30_frame0280.jpg,https://drive.google.com/uc?export=view&id=1Q9Bx790vkCYVOpJ8-tHiuuVVi24-frxz,,Attentive
76,70a45f44a21a1d3a18d046e41acb497d_1080x1920_30_frame0000.jpg,Attentive,./dataset/All_extracted_frames/70a45f44a21a1d3a18d046e41acb497d_1080x1920_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1yBfdNSXYaueoEDW5UwrE-SlMNxSjg23e,,Attentive
77,fd92f5b02e0649edecb9d2e7370967d1_1920x1080_30_frame0000.jpg,Attentive,./dataset/All_extracted_frames/fd92f5b02e0649edecb9d2e7370967d1_1920x1080_30_frame0000.jpg,https://drive.google.com/uc?export=view&id=1wFNyLdJKxvlcsWP1yiNe0EUWTirGvV40,,Attentive
78,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30_frame0160.jpg,Attentive,./dataset/All_extracted_frames/8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30_frame0160.jpg,https://drive.google.com/uc?export=view&id=12BxE-KFkslXiYhOBYxdqH-WDJRLWTk9L,,Attentive
79,682502c09dd305b812e43baf6e7fabdf_1920x1080_30_frame0060.jpg,Attentive,./dataset/All_extracted_frames/682502c09dd305b812e43baf6e7fabdf_1920x1080_30_frame0060.jpg,https://drive.google.com/uc?export=view&id=1rKCFZDSOf247oTwbaQXt7uLJrVvGCK9Q,,Attentive
80,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30_frame0120.jpg,Attentive,./dataset/All_extracted_frames/e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30_frame0120.jpg,https://drive.google.com/uc?export=view&id=1reeHmcstj1WpporgTXznLZ0llD8Scj3r,,Attentive
81,3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0120.jpg,Not Attentive,./dataset/All_extracted_frames/3bcfd30cdb997ccb70af3559078a6ccc_1920x1080_30_frame0120.jpg,https://drive.google.com/uc?export=view&id=1DEP_NeAKdT_mQ3eJA7DfMxLQryukDKRh,,Attentive
82,fd2ce9e521c70928dc0200c24781e4a7_1080x1920_30_frame0220.jpg,Attentive,./dataset/All_extracted_frames/fd2ce9e521c70928dc0200c24781e4a7_1080x1920_30_frame0220.jpg,https://drive.google.com/uc?export=view&id=1_kin5Q0BdCu_O7_0mKgC0cUEYDoAce7g,,Attentive
83,ea352e3eae0d94f12627e51e23d350df_1920x1080_30_frame0020.jpg,Attentive,./dataset/All_extracted_frames/ea352e3eae0d94f12627e51e23d350df_1920x1080_30_frame0020.jpg,https://drive.google.com/uc?export=view&id=1_VEVEW_0qwDQz6YuDiTRfn0HX6HDMYph,,Attentive
84,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30_frame0240.jpg,Attentive,./dataset/All_extracted_frames/70e80388aae75b945e5000eb7ade4a6a_1920x1080_30_frame0240.jpg,https://drive.google.com/uc?export=view&id=1HRetfyvpff6zoayE5v19HbTDOn8Zkipn,,Attentive
85,54e9f7b6a15b07e90b4836eb6ffb58ae_1920x1080_30_frame0220.jpg,Attentive,./dataset/All_extracted_frames/54e9f7b6a15b07e90b4836eb6ffb58ae_1920x1080_30_frame0220.jpg,https://drive.google.com/uc?export=view&id=1ccJ-4jsHBHG4zTR0g2frd6FnLjqW7hSt,,Attentive
86,2242e0be13a37cf78b00aaeafa54d4a7_1920x1080_30_frame0260.jpg,Attentive,./dataset/All_extracted_frames/2242e0be13a37cf78b00aaeafa54d4a7_1920x1080_30_frame0260.jpg,https://drive.google.com/uc?export=view&id=17MhfXkdj0uMQZoylb1166ILFwCmKqxeO,,Not Attentive
87,fbdfa436d72b83ff284396579bcd6da5_1920x1080_30_frame0040.jpg,Not Attentive,./dataset/All_extracted_frames/fbdfa436d72b83ff284396579bcd6da5_1920x1080_30_frame0040.jpg,https://drive.google.com/uc?export=view&id=1keQKjO2ihmmmt7qcuccdYsgGoxzF6nCz,,Attentive
88,18cf4050bd931d805fcdcba77436c2bc_1920x1080_30_frame0100.jpg,Not Attentive,./dataset/All_extracted_frames/18cf4050bd931d805fcdcba77436c2bc_1920x1080_30_frame0100.jpg,https://drive.google.com/uc?export=view&id=1Tc8Vy7oGkYfMm0TrY_YHKizohWDUhit2,,Attentive
